"sexe","age","revenu","region","conjoint","anneeclient","semainedernier","montantdernier","montantunan","achatunan","yachat","ymontant","train","test"
1,42,1,3,1,8.6,8,4,47,12,0,NA,1,0
1,59,2,3,1,8.6,9,7,36,12,0,NA,1,0
0,52,3,5,1,1.4,9,12,130,20,0,NA,1,0
0,32,1,1,0,10.7,42,3,33,7,0,NA,1,0
1,38,2,5,0,9.1,5,3,16,7,0,NA,1,0
1,63,2,5,1,9.4,1,2,30,20,0,NA,1,0
0,35,2,1,1,10.6,6,5,177,25,0,NA,1,0
0,32,1,3,0,4.8,5,7,89,15,1,52,1,0
0,26,3,1,0,4,48,7,24,5,1,79,1,0
1,32,1,5,0,10.3,9,5,27,7,1,77,1,0
1,32,2,1,0,10.9,52,3,25,5,0,NA,1,0
1,65,2,5,1,4.5,7,2,111,25,0,NA,1,0
0,40,3,4,1,8.3,4,5,32,5,0,NA,1,0
0,42,3,1,1,7.3,3,3,75,7,0,NA,1,0
0,22,1,3,0,2.6,13,5,80,7,0,NA,1,0
1,33,1,5,0,2.1,7,3,54,15,1,49,1,0
0,38,1,2,0,2.6,3,5,40,15,0,NA,1,0
1,30,1,3,0,10.6,1,6,35,10,1,73,1,0
1,30,1,5,0,8.4,2,7,90,20,1,55,1,0
1,55,2,5,1,3.2,1,4,89,15,0,NA,1,0
0,33,2,2,0,6.7,33,7,61,12,1,76,1,0
1,52,1,3,1,4,18,4,47,7,0,NA,1,0
1,35,2,2,1,9.2,1,3,64,12,0,NA,1,0
0,42,3,4,1,6.4,1,10,117,25,0,NA,1,0
0,30,3,1,1,2,16,3,36,7,0,NA,1,0
0,33,1,3,1,3.6,2,4,32,10,0,NA,1,0
0,49,2,5,1,6.8,13,2,98,15,0,NA,1,0
1,43,3,4,1,2.6,2,6,40,12,0,NA,1,0
0,49,1,5,0,7.5,2,2,75,15,0,NA,1,0
1,30,1,5,0,10.3,3,3,31,12,1,75,1,0
1,55,1,5,0,2.7,6,2,44,28,0,NA,1,0
0,20,1,1,0,1,1,5,48,10,1,55,1,0
1,35,1,2,1,1.3,11,7,59,17,0,NA,1,0
1,30,2,4,0,10.1,1,2,92,28,0,NA,1,0
1,40,1,5,0,9.4,39,3,30,5,0,NA,1,0
1,48,2,1,0,9.1,29,5,78,5,0,NA,1,0
0,37,3,1,1,11,28,2,37,10,0,NA,1,0
0,32,2,3,0,2.7,1,2,56,17,0,NA,1,0
0,31,2,4,0,7,13,2,74,22,0,NA,1,0
0,42,3,3,1,2.6,7,13,78,12,1,82,1,0
1,23,1,3,0,1.1,1,2,26,12,0,NA,1,0
1,24,1,5,0,5.6,5,4,38,10,0,NA,1,0
1,47,2,4,1,6.3,7,2,41,15,0,NA,1,0
1,51,1,1,1,5.5,6,3,235,28,0,NA,1,0
1,27,1,4,1,7.7,3,3,21,7,1,84,1,0
1,32,3,3,1,2,4,2,41,10,0,NA,1,0
0,24,2,2,1,4,20,9,92,22,0,NA,1,0
0,28,1,1,0,9.2,15,3,111,25,0,NA,1,0
0,32,2,3,0,10.8,1,2,44,15,0,NA,1,0
0,39,2,2,1,7.4,3,5,54,15,0,NA,1,0
0,58,3,1,1,4.6,2,4,29,10,0,NA,1,0
1,31,2,1,1,3.5,8,6,84,28,0,NA,1,0
1,36,2,2,1,10.1,14,7,65,20,0,NA,1,0
1,43,1,4,0,7.5,6,9,79,17,0,NA,1,0
1,44,1,4,0,4.2,8,5,31,12,0,NA,1,0
1,29,1,4,0,10.6,11,3,21,7,0,NA,1,0
0,41,2,1,0,8.6,37,5,26,7,1,81,1,0
1,54,1,5,0,9.9,1,3,129,20,0,NA,1,0
1,39,3,4,1,5.5,5,6,38,15,0,NA,1,0
1,40,1,5,0,7.4,16,4,27,7,0,NA,1,0
0,33,2,2,0,6.6,1,2,104,15,0,NA,1,0
0,40,3,3,1,3,11,2,66,17,0,NA,1,0
0,35,2,3,0,5.6,15,2,26,10,0,NA,1,0
1,29,2,5,0,5.1,13,3,31,10,1,68,1,0
1,45,2,2,1,9.9,6,6,57,25,0,NA,1,0
0,32,1,1,0,10.2,11,5,31,7,0,NA,1,0
1,26,1,2,0,3.2,6,3,56,22,1,44,1,0
0,42,1,3,1,2.7,23,3,147,17,0,NA,1,0
1,23,3,3,1,4.5,1,7,59,10,0,NA,1,0
0,29,3,2,1,9.6,38,3,24,10,1,96,1,0
0,30,2,3,0,1.4,18,5,38,12,1,68,1,0
0,32,2,1,0,9.4,3,3,61,17,0,NA,1,0
0,35,3,2,1,5.1,2,3,45,17,0,NA,1,0
0,37,2,3,1,7.1,8,4,120,12,0,NA,1,0
0,21,2,4,0,3,15,3,45,15,0,NA,1,0
1,25,2,5,1,2.5,5,4,34,12,0,NA,1,0
0,48,1,5,1,1.6,9,3,45,15,0,NA,1,0
0,45,3,1,1,3.3,14,2,6,2,0,NA,1,0
0,25,2,1,0,3.3,13,17,69,15,1,67,1,0
1,52,2,5,1,9.9,3,4,52,10,0,NA,1,0
0,31,3,2,1,6.7,8,2,108,15,0,NA,1,0
1,38,1,2,0,3.6,17,2,79,10,0,NA,1,0
0,31,3,2,0,10.2,14,3,40,10,1,81,1,0
1,39,2,5,0,6.3,9,3,79,20,0,NA,1,0
1,41,2,5,1,5.7,1,2,102,10,0,NA,1,0
0,27,2,3,1,8.3,8,5,28,12,0,NA,1,0
1,39,1,2,0,4.1,7,3,21,10,0,NA,1,0
0,29,1,3,0,9.2,24,2,24,12,0,NA,1,0
1,44,1,5,1,4.8,35,2,24,7,0,NA,1,0
0,31,3,1,0,10.5,1,2,57,28,0,NA,1,0
0,51,2,3,1,5.8,14,2,22,10,0,NA,1,0
0,49,3,4,0,3,21,2,72,17,0,NA,1,0
1,44,1,5,0,6.2,26,2,104,22,0,NA,1,0
1,39,1,5,0,6.3,2,4,25,12,1,55,1,0
0,38,2,4,1,6.9,13,2,183,20,0,NA,1,0
0,30,2,1,0,4.2,5,4,96,20,0,NA,1,0
1,45,3,3,1,1.3,13,2,57,12,0,NA,1,0
1,59,1,4,0,7,2,4,49,10,0,NA,1,0
1,41,1,5,0,8.4,13,2,26,12,0,NA,1,0
0,34,2,2,1,9.9,1,6,46,22,0,NA,1,0
1,41,3,5,1,1.1,20,4,35,7,0,NA,1,0
1,34,2,5,1,7,20,4,58,15,0,NA,1,0
0,29,2,2,0,10,7,3,38,20,0,NA,1,0
0,33,3,3,0,1.6,3,2,29,5,0,NA,1,0
0,35,1,3,0,9.4,36,2,16,7,1,76,1,0
0,38,2,3,1,6.8,18,2,135,15,0,NA,1,0
0,40,3,1,1,10.7,40,4,30,7,1,94,1,0
1,32,2,2,0,10.3,5,2,42,10,0,NA,1,0
0,33,3,3,1,10.7,5,2,100,22,0,NA,1,0
1,40,2,1,0,5.4,13,3,29,10,0,NA,1,0
1,34,2,4,1,1.7,6,2,43,12,0,NA,1,0
1,48,1,5,0,7.9,15,4,35,10,0,NA,1,0
0,37,3,1,1,1.6,1,8,42,5,0,NA,1,0
1,47,2,1,1,8.8,5,7,58,15,0,NA,1,0
1,30,2,3,0,4.3,12,4,291,25,1,58,1,0
1,42,1,5,0,9.9,1,5,78,12,0,NA,1,0
0,28,2,3,0,9.7,26,7,64,15,1,79,1,0
1,40,1,3,0,6.5,5,8,44,12,0,NA,1,0
0,51,3,5,1,3,5,3,89,28,0,NA,1,0
1,57,1,5,0,7,21,9,52,12,0,NA,1,0
0,32,2,2,0,8.8,10,3,68,12,0,NA,1,0
0,50,3,4,1,5.6,1,2,105,25,0,NA,1,0
0,29,1,2,0,7,10,2,13,7,1,60,1,0
0,28,3,4,1,7.1,1,3,137,30,0,NA,1,0
0,31,3,3,0,9,21,3,28,10,1,75,1,0
0,40,2,3,1,10.8,5,2,39,22,0,NA,1,0
0,48,2,2,0,9.9,10,2,36,10,0,NA,1,0
1,43,1,5,0,9.6,2,3,39,10,0,NA,1,0
0,43,1,5,1,5.1,6,2,52,15,0,NA,1,0
0,27,3,4,1,7.9,1,2,102,17,0,NA,1,0
0,32,3,4,1,9.1,1,3,74,17,0,NA,1,0
1,25,1,2,0,2.3,2,9,140,17,1,45,1,0
1,23,1,5,0,1.4,13,3,56,17,0,NA,1,0
0,48,2,4,0,2,5,5,201,25,0,NA,1,0
1,49,1,5,1,5.4,4,3,179,28,0,NA,1,0
0,31,1,2,0,3,8,6,51,15,0,NA,1,0
1,22,1,3,0,3.6,6,2,43,20,1,54,1,0
1,37,2,2,0,4.8,21,9,84,7,1,69,1,0
0,40,2,3,0,7.7,7,2,24,15,0,NA,1,0
0,38,3,1,0,3,34,2,18,7,0,NA,1,0
0,31,3,1,1,10.2,2,8,48,10,1,89,1,0
1,46,1,5,0,1.8,6,6,89,30,0,NA,1,0
1,60,2,3,1,2.5,3,7,35,7,0,NA,1,0
1,45,1,5,0,9.5,7,6,40,20,0,NA,1,0
0,48,1,5,1,5.2,5,2,42,15,0,NA,1,0
1,33,2,4,0,6.4,5,3,26,10,1,72,1,0
1,32,3,5,1,3,2,4,137,10,0,NA,1,0
1,48,2,3,1,5.9,1,4,27,12,0,NA,1,0
1,42,1,5,0,2.8,27,8,69,15,0,NA,1,0
1,28,1,3,0,9.8,15,3,71,12,1,77,1,0
0,44,3,4,1,7.9,17,2,30,10,0,NA,1,0
0,38,2,1,1,4,26,4,74,20,0,NA,1,0
